episode,total_reward,steps,success,timestamp,epsilon,learning_rate,discount_factor,q_table_size,successful_returns,food_collected,food_delivered,avg_reward_last_10,success_rate_last_10
16,140.6,15,1,2025-12-09 00:43:01,0.0928,0.0,0.0,0,0,1,1,0.0,0.0
16,262.4,47,1,2025-12-09 00:43:01,0.0923,0.0,0.0,0,0,2,2,0.0,0.0
16,410.4,51,1,2025-12-09 00:43:01,0.0918,0.0,0.0,0,0,3,3,0.0,0.0
16,540.3,74,1,2025-12-09 00:43:01,0.0914,0.0,0.0,0,0,4,4,0.0,0.0
16,672.2,95,1,2025-12-09 00:43:01,0.0909,0.0,0.0,0,0,5,5,0.0,0.0
16,806.1,114,1,2025-12-09 00:43:01,0.0905,0.0,0.0,0,0,6,6,0.0,0.0
16,930.1,142,1,2025-12-09 00:43:01,0.09,0.0,0.0,0,0,7,7,0.0,0.0
16,1037.8,189,1,2025-12-09 00:43:01,0.0896,0.0,0.0,0,0,8,8,0.0,0.0
16,1157.2,227,1,2025-12-09 00:43:01,0.0891,0.0,0.0,0,0,9,9,0.0,0.0
16,1305.2,231,1,2025-12-09 00:43:01,0.0887,0.0,0.0,0,0,10,10,0.0,0.0
16,1419.0,271,1,2025-12-09 00:43:01,0.0882,0.0,0.0,0,0,11,11,0.0,0.0
16,1540.3,308,1,2025-12-09 00:43:02,0.0878,0.0,0.0,0,0,12,12,0.0,0.0
16,1688.3,312,1,2025-12-09 00:43:02,0.0873,0.0,0.0,0,0,13,13,0.0,0.0
16,1755.4,405,1,2025-12-09 00:43:02,0.0869,0.0,0.0,0,0,14,14,0.0,0.0
16,1883.2,431,1,2025-12-09 00:43:02,0.0865,0.0,0.0,0,0,15,15,0.0,0.0
16,2023.2,443,1,2025-12-09 00:43:02,0.086,0.0,0.0,0,0,16,16,0.0,0.0
16,2147.0,473,1,2025-12-09 00:43:02,0.0856,0.0,0.0,0,0,17,17,0.0,0.0
16,2293.0,479,1,2025-12-09 00:43:02,0.0852,0.0,0.0,0,0,18,18,0.0,0.0
16,2410.9,514,1,2025-12-09 00:43:02,0.0848,0.0,0.0,0,0,19,19,0.0,0.0
16,2520.8,557,1,2025-12-09 00:43:02,0.0843,0.0,0.0,0,0,20,20,0.0,0.0
16,2658.6,573,1,2025-12-09 00:43:02,0.0839,0.0,0.0,0,0,21,21,0.0,0.0
16,2806.6,577,1,2025-12-09 00:43:02,0.0835,0.0,0.0,0,0,22,22,0.0,0.0
16,2956.4,581,1,2025-12-09 00:43:02,0.0831,0.0,0.0,0,0,23,23,0.0,0.0
16,3094.4,595,1,2025-12-09 00:43:02,0.0827,0.0,0.0,0,0,24,24,0.0,0.0
16,3238.4,603,1,2025-12-09 00:43:02,0.0822,0.0,0.0,0,0,25,25,0.0,0.0
16,3348.2,647,1,2025-12-09 00:43:02,0.0818,0.0,0.0,0,0,26,26,0.0,0.0
16,3479.8,671,1,2025-12-09 00:43:02,0.0814,0.0,0.0,0,0,27,27,0.0,0.0
16,3619.7,684,1,2025-12-09 00:43:02,0.081,0.0,0.0,0,0,28,28,0.0,0.0
16,3747.5,710,1,2025-12-09 00:43:02,0.0806,0.0,0.0,0,0,29,29,0.0,0.0
16,3854.8,761,1,2025-12-09 00:43:02,0.0802,0.0,0.0,0,0,30,30,0.0,0.0
16,3988.8,779,1,2025-12-09 00:43:02,0.0798,0.0,0.0,0,0,31,31,0.0,0.0
16,4106.6,815,1,2025-12-09 00:43:02,0.0794,0.0,0.0,0,0,32,32,0.0,0.0
16,4230.2,847,1,2025-12-09 00:43:02,0.079,0.0,0.0,0,0,33,33,0.0,0.0
16,4355.8,877,1,2025-12-09 00:43:02,0.0786,0.0,0.0,0,0,34,34,0.0,0.0
16,4427.5,960,1,2025-12-09 00:43:03,0.0782,0.0,0.0,0,0,35,35,0.0,0.0
16,4551.5,988,1,2025-12-09 00:43:03,0.0778,0.0,0.0,0,0,36,36,0.0,0.0
16,4693.5,998,1,2025-12-09 00:43:03,0.0774,0.0,0.0,0,0,37,37,0.0,0.0
