episode,total_reward,steps,success,timestamp,epsilon,learning_rate,discount_factor,q_table_size,successful_returns,food_collected,food_delivered,avg_reward_last_10,success_rate_last_10
16,146.9,6,1,2025-12-09 18:31:43,0.0928,0.0,0.0,0,0,1,1,0.0,0.0
16,274.9,30,1,2025-12-09 18:31:43,0.0923,0.0,0.0,0,0,2,2,0.0,0.0
16,412.9,44,1,2025-12-09 18:31:43,0.0918,0.0,0.0,0,0,3,3,0.0,0.0
16,528.8,81,1,2025-12-09 18:31:43,0.0914,0.0,0.0,0,0,4,4,0.0,0.0
16,662.4,103,1,2025-12-09 18:31:43,0.0909,0.0,0.0,0,0,5,5,0.0,0.0
16,761.8,161,1,2025-12-09 18:31:43,0.0905,0.0,0.0,0,0,6,6,0.0,0.0
16,895.6,181,1,2025-12-09 18:31:43,0.09,0.0,0.0,0,0,7,7,0.0,0.0
16,1011.3,220,1,2025-12-09 18:31:44,0.0896,0.0,0.0,0,0,8,8,0.0,0.0
16,1146.9,240,1,2025-12-09 18:31:44,0.0891,0.0,0.0,0,0,9,9,0.0,0.0
16,1274.9,264,1,2025-12-09 18:31:44,0.0887,0.0,0.0,0,0,10,10,0.0,0.0
16,1408.4,287,1,2025-12-09 18:31:44,0.0882,0.0,0.0,0,0,11,11,0.0,0.0
16,1488.4,359,1,2025-12-09 18:31:44,0.0878,0.0,0.0,0,0,12,12,0.0,0.0
16,1632.2,369,1,2025-12-09 18:31:44,0.0873,0.0,0.0,0,0,13,13,0.0,0.0
16,1751.8,405,1,2025-12-09 18:31:44,0.0869,0.0,0.0,0,0,14,14,0.0,0.0
16,1899.8,409,1,2025-12-09 18:31:44,0.0865,0.0,0.0,0,0,15,15,0.0,0.0
16,2021.0,447,1,2025-12-09 18:31:44,0.086,0.0,0.0,0,0,16,16,0.0,0.0
16,2163.0,457,1,2025-12-09 18:31:44,0.0856,0.0,0.0,0,0,17,17,0.0,0.0
16,2296.7,478,1,2025-12-09 18:31:44,0.0852,0.0,0.0,0,0,18,18,0.0,0.0
16,2414.6,513,1,2025-12-09 18:31:44,0.0848,0.0,0.0,0,0,19,19,0.0,0.0
16,2562.5,518,1,2025-12-09 18:31:44,0.0843,0.0,0.0,0,0,20,20,0.0,0.0
16,2670.5,562,1,2025-12-09 18:31:44,0.0839,0.0,0.0,0,0,21,21,0.0,0.0
16,2794.2,593,1,2025-12-09 18:31:44,0.0835,0.0,0.0,0,0,22,22,0.0,0.0
16,2940.2,599,1,2025-12-09 18:31:44,0.0831,0.0,0.0,0,0,23,23,0.0,0.0
16,3062.2,629,1,2025-12-09 18:31:44,0.0827,0.0,0.0,0,0,24,24,0.0,0.0
16,3158.1,686,1,2025-12-09 18:31:44,0.0822,0.0,0.0,0,0,25,25,0.0,0.0
16,3287.7,712,1,2025-12-09 18:31:44,0.0818,0.0,0.0,0,0,26,26,0.0,0.0
16,3403.2,753,1,2025-12-09 18:31:44,0.0814,0.0,0.0,0,0,27,27,0.0,0.0
16,3533.2,775,1,2025-12-09 18:31:44,0.081,0.0,0.0,0,0,28,28,0.0,0.0
16,3619.2,841,1,2025-12-09 18:31:45,0.0806,0.0,0.0,0,0,29,29,0.0,0.0
16,3718.4,901,1,2025-12-09 18:31:45,0.0802,0.0,0.0,0,0,30,30,0.0,0.0
16,3866.4,905,1,2025-12-09 18:31:45,0.0798,0.0,0.0,0,0,31,31,0.0,0.0
16,3978.2,947,1,2025-12-09 18:31:45,0.0794,0.0,0.0,0,0,32,32,0.0,0.0
16,4103.5,980,1,2025-12-09 18:31:45,0.079,0.0,0.0,0,0,33,33,0.0,0.0
