episode,total_reward,steps,success,timestamp,epsilon,learning_rate,discount_factor,q_table_size,successful_returns,food_collected,food_delivered,avg_reward_last_10,success_rate_last_10
16,147.0,5,1,2025-12-09 18:22:29,0.0928,0.0,0.0,0,0,1,1,0.0,0.0
16,277.0,27,1,2025-12-09 18:22:29,0.0923,0.0,0.0,0,0,2,2,0.0,0.0
16,394.6,65,1,2025-12-09 18:22:29,0.0918,0.0,0.0,0,0,3,3,0.0,0.0
16,542.6,69,1,2025-12-09 18:22:29,0.0914,0.0,0.0,0,0,4,4,0.0,0.0
16,680.4,85,1,2025-12-09 18:22:29,0.0909,0.0,0.0,0,0,5,5,0.0,0.0
16,816.4,101,1,2025-12-09 18:22:29,0.0905,0.0,0.0,0,0,6,6,0.0,0.0
16,918.1,154,1,2025-12-09 18:22:29,0.09,0.0,0.0,0,0,7,7,0.0,0.0
16,1043.9,182,1,2025-12-09 18:22:29,0.0896,0.0,0.0,0,0,8,8,0.0,0.0
16,1179.9,198,1,2025-12-09 18:22:29,0.0891,0.0,0.0,0,0,9,9,0.0,0.0
16,1301.8,229,1,2025-12-09 18:22:30,0.0887,0.0,0.0,0,0,10,10,0.0,0.0
16,1449.8,233,1,2025-12-09 18:22:30,0.0882,0.0,0.0,0,0,11,11,0.0,0.0
16,1571.8,263,1,2025-12-09 18:22:30,0.0878,0.0,0.0,0,0,12,12,0.0,0.0
16,1709.7,278,1,2025-12-09 18:22:30,0.0873,0.0,0.0,0,0,13,13,0.0,0.0
16,1822.6,327,1,2025-12-09 18:22:30,0.0869,0.0,0.0,0,0,14,14,0.0,0.0
16,1922.6,379,1,2025-12-09 18:22:30,0.0865,0.0,0.0,0,0,15,15,0.0,0.0
16,2058.2,399,1,2025-12-09 18:22:30,0.086,0.0,0.0,0,0,16,16,0.0,0.0
16,2164.1,446,1,2025-12-09 18:22:30,0.0856,0.0,0.0,0,0,17,17,0.0,0.0
16,2298.1,464,1,2025-12-09 18:22:30,0.0852,0.0,0.0,0,0,18,18,0.0,0.0
16,2440.1,474,1,2025-12-09 18:22:30,0.0848,0.0,0.0,0,0,19,19,0.0,0.0
16,2562.1,504,1,2025-12-09 18:22:30,0.0843,0.0,0.0,0,0,20,20,0.0,0.0
16,2689.9,530,1,2025-12-09 18:22:30,0.0839,0.0,0.0,0,0,21,21,0.0,0.0
16,2823.8,549,1,2025-12-09 18:22:30,0.0835,0.0,0.0,0,0,22,22,0.0,0.0
16,2961.8,563,1,2025-12-09 18:22:30,0.0831,0.0,0.0,0,0,23,23,0.0,0.0
16,3082.2,609,1,2025-12-09 18:22:30,0.0827,0.0,0.0,0,0,24,24,0.0,0.0
16,3208.2,635,1,2025-12-09 18:22:30,0.0822,0.0,0.0,0,0,25,25,0.0,0.0
16,3331.8,667,1,2025-12-09 18:22:30,0.0818,0.0,0.0,0,0,26,26,0.0,0.0
16,3431.4,723,1,2025-12-09 18:22:30,0.0814,0.0,0.0,0,0,27,27,0.0,0.0
16,3524.7,788,1,2025-12-09 18:22:30,0.081,0.0,0.0,0,0,28,28,0.0,0.0
16,3632.4,835,1,2025-12-09 18:22:31,0.0806,0.0,0.0,0,0,29,29,0.0,0.0
16,3770.1,852,1,2025-12-09 18:22:31,0.0802,0.0,0.0,0,0,30,30,0.0,0.0
16,3896.0,879,1,2025-12-09 18:22:31,0.0798,0.0,0.0,0,0,31,31,0.0,0.0
16,4025.7,904,1,2025-12-09 18:22:31,0.0794,0.0,0.0,0,0,32,32,0.0,0.0
16,4159.2,927,1,2025-12-09 18:22:31,0.079,0.0,0.0,0,0,33,33,0.0,0.0
16,4290.9,950,1,2025-12-09 18:22:31,0.0786,0.0,0.0,0,0,34,34,0.0,0.0
16,4428.5,968,1,2025-12-09 18:22:31,0.0782,0.0,0.0,0,0,35,35,0.0,0.0
