episode,total_reward,steps,success,timestamp,epsilon,learning_rate,discount_factor,q_table_size,successful_returns,food_collected,food_delivered,avg_reward_last_10,success_rate_last_10
16,147.0,5,1,2025-12-09 18:52:09,0.0928,0.0,0.0,0,0,1,1,0.0,0.0
16,268.9,36,1,2025-12-09 18:52:33,0.0923,0.0,0.0,0,0,2,2,0.0,0.0
16,416.9,40,1,2025-12-09 18:52:36,0.0918,0.0,0.0,0,0,3,3,0.0,0.0
16,564.9,44,1,2025-12-09 18:52:39,0.0914,0.0,0.0,0,0,4,4,0.0,0.0
16,660.9,100,1,2025-12-09 18:53:21,0.0909,0.0,0.0,0,0,5,5,0.0,0.0
