episode,total_reward,steps,success,timestamp,epsilon,learning_rate,discount_factor,q_table_size,successful_returns,food_collected,food_delivered,avg_reward_last_10,success_rate_last_10
16,147.0,5,1,2025-12-09 00:42:39,0.0928,0.0,0.0,0,0,1,1,0.0,0.0
16,268.6,39,1,2025-12-09 00:42:39,0.0923,0.0,0.0,0,0,2,2,0.0,0.0
16,366.1,98,1,2025-12-09 00:42:39,0.0918,0.0,0.0,0,0,3,3,0.0,0.0
16,495.8,123,1,2025-12-09 00:42:39,0.0914,0.0,0.0,0,0,4,4,0.0,0.0
16,631.8,139,1,2025-12-09 00:42:39,0.0909,0.0,0.0,0,0,5,5,0.0,0.0
16,755.8,167,1,2025-12-09 00:42:39,0.0905,0.0,0.0,0,0,6,6,0.0,0.0
16,885.8,189,1,2025-12-09 00:42:39,0.09,0.0,0.0,0,0,7,7,0.0,0.0
16,985.4,245,1,2025-12-09 00:42:39,0.0896,0.0,0.0,0,0,8,8,0.0,0.0
16,1115.2,269,1,2025-12-09 00:42:39,0.0891,0.0,0.0,0,0,9,9,0.0,0.0
16,1211.2,325,1,2025-12-09 00:42:39,0.0887,0.0,0.0,0,0,10,10,0.0,0.0
16,1335.2,353,1,2025-12-09 00:42:39,0.0882,0.0,0.0,0,0,11,11,0.0,0.0
16,1447.1,394,1,2025-12-09 00:42:39,0.0878,0.0,0.0,0,0,12,12,0.0,0.0
16,1534.6,463,1,2025-12-09 00:42:40,0.0873,0.0,0.0,0,0,13,13,0.0,0.0
16,1682.6,467,1,2025-12-09 00:42:40,0.0869,0.0,0.0,0,0,14,14,0.0,0.0
16,1822.6,479,1,2025-12-09 00:42:40,0.0865,0.0,0.0,0,0,15,15,0.0,0.0
16,1942.4,513,1,2025-12-09 00:42:40,0.086,0.0,0.0,0,0,16,16,0.0,0.0
16,2047.9,564,1,2025-12-09 00:42:40,0.0856,0.0,0.0,0,0,17,17,0.0,0.0
16,2171.9,592,1,2025-12-09 00:42:40,0.0852,0.0,0.0,0,0,18,18,0.0,0.0
16,2253.5,666,1,2025-12-09 00:42:40,0.0848,0.0,0.0,0,0,19,19,0.0,0.0
16,2372.8,705,1,2025-12-09 00:42:40,0.0843,0.0,0.0,0,0,20,20,0.0,0.0
16,2500.7,730,1,2025-12-09 00:42:40,0.0839,0.0,0.0,0,0,21,21,0.0,0.0
16,2620.4,765,1,2025-12-09 00:42:40,0.0835,0.0,0.0,0,0,22,22,0.0,0.0
16,2742.2,797,1,2025-12-09 00:42:40,0.0831,0.0,0.0,0,0,23,23,0.0,0.0
16,2858.0,835,1,2025-12-09 00:42:40,0.0827,0.0,0.0,0,0,24,24,0.0,0.0
16,2991.6,857,1,2025-12-09 00:42:40,0.0822,0.0,0.0,0,0,25,25,0.0,0.0
16,3109.2,895,1,2025-12-09 00:42:40,0.0818,0.0,0.0,0,0,26,26,0.0,0.0
16,3233.1,924,1,2025-12-09 00:42:40,0.0814,0.0,0.0,0,0,27,27,0.0,0.0
16,3383.1,926,1,2025-12-09 00:42:40,0.081,0.0,0.0,0,0,28,28,0.0,0.0
16,3496.8,967,1,2025-12-09 00:42:40,0.0806,0.0,0.0,0,0,29,29,0.0,0.0
