episode,total_reward,steps,success,timestamp,epsilon,learning_rate,discount_factor,q_table_size,successful_returns,food_collected,food_delivered,avg_reward_last_10,success_rate_last_10
16,138.6,17,1,2025-12-09 18:43:18,0.0928,0.0,0.0,0,0,1,1,0.0,0.0
16,266.6,41,1,2025-12-09 18:43:36,0.0923,0.0,0.0,0,0,2,2,0.0,0.0
16,398.4,63,1,2025-12-09 18:43:53,0.0918,0.0,0.0,0,0,3,3,0.0,0.0
16,542.4,71,1,2025-12-09 18:43:59,0.0914,0.0,0.0,0,0,4,4,0.0,0.0
16,682.4,83,1,2025-12-09 18:44:08,0.0909,0.0,0.0,0,0,5,5,0.0,0.0
16,806.2,113,1,2025-12-09 18:44:30,0.0905,0.0,0.0,0,0,6,6,0.0,0.0
16,928.0,145,1,2025-12-09 18:44:54,0.09,0.0,0.0,0,0,7,7,0.0,0.0
16,1078.0,147,1,2025-12-09 18:44:56,0.0896,0.0,0.0,0,0,8,8,0.0,0.0
16,1155.6,225,1,2025-12-09 18:45:55,0.0891,0.0,0.0,0,0,9,9,0.0,0.0
